Competition,Team Number,Team Name,Match Number,Upper Scored,Middle Scored,Lower Scored,Total Points,Auto Points
Rocket City Regional,1572,The Hammer Heads,1,1,3,1,17,4
Rocket City Regional,2485,W.A.R. Lords,1,0,1,5,14,4
Rocket City Regional,7589,Lishan Blue Magpie,1,1,1,0,10,10
Rocket City Regional,1538,The Holy Cows,1,5,6,1,47,8
Rocket City Regional,4322,Clockwork Oranges,1,7,0,0,36,6
Rocket City Regional,3704,3704,1,1,0,0,5,0
Rocket City Regional,4160,The RoBucs,2,1,0,2,9,0
Rocket City Regional,1622,Team Spyder,2,6,0,2,35,6
Rocket City Regional,4141,Monarch Robotics,2,1,0,4,13,0
Rocket City Regional,6695,Alpha Knights,2,0,0,2,5,3
Rocket City Regional,8006,The Phantoms,2,0,0,3,6,0
Rocket City Regional,8020,CyberpunK,2,2,0,2,14,0
Rocket City Regional,5025,Pacific Steel ,3,1,2,0,11,0
Rocket City Regional,4919,Team Ronin,3,0,0,1,2,0
Rocket City Regional,3647,Millennium Falcons,3,7,2,0,41,0
Rocket City Regional,2839,Daedalus,3,2,1,3,19,0
Rocket City Regional,8891,Wild Raccoons,2,0,0,0,0,0
Rocket City Regional,5474,Clairemonster,3,0,1,1,6,4
Rocket City Regional,8870,RedCards,4,0,0,0,0,0
Rocket City Regional,6417,Fridolins,4,3,0,1,18,6
Rocket City Regional,2827,Crown City Robotics,4,1,0,0,5,0
Rocket City Regional,589,Falkon Robotics,4,0,1,0,4,4
Rocket City Regional,1266,The Devil Duckies,4,0,1,6,16,4
Rocket City Regional,3749,Team Optix,4,3,1,2,23,6
Rocket City Regional,6560,Charging Champions,5,2,1,5,25,6
Rocket City Regional,973,Greybots,5,3,3,4,33,6
Rocket City Regional,6995,NOMAD,5,5,2,0,31,0
Rocket City Regional,2102,Team Paradox,5,0,0,5,10,0
Rocket City Regional,6885,The Pilots,5,0,0,0,0,0
Rocket City Regional,8119,TigerBotics,6,2,0,1,12,0
Rocket City Regional,4419,Team Rewind,6,0,0,0,0,0
Rocket City Regional,702,Bagel Bytes,6,0,0,3,6,0
Rocket City Regional,6515,Unimatics,6,0,1,2,7,0
Rocket City Regional,3341,Option 16,6,0,0,3,6,0
Rocket City Regional,599,The Robodox,6,4,4,2,37,6
Rocket City Regional,3128,The Aluminum Narwhals,7,0,0,3,6,0
Rocket City Regional,4738,Patribots,7,3,2,3,27,0
Rocket City Regional,8537,MechanicAnts,8,0,0,0,0,0
Rocket City Regional,812,The Midnight Mechanics,8,0,0,1,2,0
Rocket City Regional,5285,Y,8,1,0,3,15,15
Rocket City Regional,2984,Vikings Robotics,8,0,0,0,0,0
Rocket City Regional,3255,SuperNURDs,8,5,3,0,35,6
Rocket City Regional,3965,Sultans,7,0,0,1,2,0
Rocket City Regional,5993,Istech Robotics Society,7,4,4,4,52,52
Rocket City Regional,2839,Daedalus,9,2,1,1,15,0
Rocket City Regional,6695,Alpha Knights,9,0,0,0,0,0
Rocket City Regional,2658,E-Motion,8,0,1,0,3,0
Rocket City Regional,2827,Crown City Robotics,9,0,0,1,2,0
Rocket City Regional,2543,TitanBot,9,3,1,2,22,0
Rocket City Regional,3647,Millennium Falcons,9,4,1,2,28,6
Rocket City Regional,8870,RedCards,10,0,0,0,0,0
Rocket City Regional,1622,Team Spyder,10,4,0,0,21,6
Rocket City Regional,7589,Lishan Blue Magpie,10,1,0,0,6,6
Rocket City Regional,8891,Wild Raccoons,10,0,0,1,3,3
Rocket City Regional,6995,NOMAD,10,6,0,0,31,6
Rocket City Regional,8020,CyberpunK,10,3,0,3,22,6
Rocket City Regional,589,Falkon Robotics,11,0,1,0,4,4
Rocket City Regional,1972,Searing Engineering,11,0,0,1,2,0
Rocket City Regional,4419,Team Rewind,11,2,1,1,15,0
Rocket City Regional,4919,Team Ronin,11,0,0,2,4,0
Rocket City Regional,8006,The Phantoms,11,0,0,0,0,0
Rocket City Regional,6417,Fridolins,11,2,1,0,14,6
Rocket City Regional,6560,Charging Champions,12,1,0,0,6,6
Rocket City Regional,4322,Clockwork Oranges,12,7,0,0,36,6
Rocket City Regional,3128,The Aluminum Narwhals,12,0,0,3,7,3
Rocket City Regional,5474,Clairemonster,12,1,0,1,8,6
Rocket City Regional,4160,The RoBucs,12,3,2,3,28,4
Rocket City Regional,3473,Team Sprocket,13,3,0,2,20,6
Rocket City Regional,3749,Team Optix,13,0,0,1,3,3
Rocket City Regional,3341,Option 16,13,1,0,2,9,0
Rocket City Regional,973,Greybots,12,3,3,1,26,0
Rocket City Regional,4141,Monarch Robotics,13,0,0,1,2,0
Rocket City Regional,4738,Patribots,14,3,5,1,33,6
Rocket City Regional,1572,The Hammer Heads,14,0,3,2,14,4
Rocket City Regional,3965,Sultans,14,0,0,1,3,3
Rocket City Regional,2102,Team Paradox,14,3,0,2,20,6
Rocket City Regional,3255,SuperNURDs,14,3,3,0,25,6
Rocket City Regional,5025,Pacific Steel ,14,1,2,2,16,6
Rocket City Regional,6885,The Pilots,15,0,0,1,2,0
Rocket City Regional,599,The Robodox,15,5,0,3,32,6
Rocket City Regional,4276,Surf City Vikings,15,0,0,3,6,0
Rocket City Regional,8537,MechanicAnts,15,0,0,0,0,0
Rocket City Regional,4984,Bullseye,15,0,0,2,4,0
Rocket City Regional,1266,The Devil Duckies,16,0,0,0,0,0
Rocket City Regional,3704,3704,16,0,0,0,0,0
Rocket City Regional,5285,Y,16,2,0,3,17,6
Rocket City Regional,5993,Istech Robotics Society,16,2,0,1,13,6
Rocket City Regional,702,Bagel Bytes,16,0,0,1,2,0
Rocket City Regional,2658,E-Motion,16,0,0,1,2,0
Rocket City Regional,2984,Vikings Robotics,17,0,0,0,0,0
Rocket City Regional,2485,W.A.R. Lords,17,2,0,2,15,6
Rocket City Regional,1538,The Holy Cows,17,3,6,3,42,11
Rocket City Regional,5474,Clairemonster,17,0,1,1,6,4
Rocket City Regional,4419,Team Rewind,17,2,3,2,24,3
Rocket City Regional,812,The Midnight Mechanics,17,0,0,1,3,3
Rocket City Regional,3647,Millennium Falcons,18,3,3,2,29,6
Rocket City Regional,6695,Alpha Knights,18,1,0,3,11,0
Rocket City Regional,3128,The Aluminum Narwhals,18,1,0,5,16,6
Rocket City Regional,6995,NOMAD,18,7,0,1,38,6
Rocket City Regional,3473,Team Sprocket,17,3,0,1,17,0
Rocket City Regional,1972,Searing Engineering,18,0,0,0,0,0
Rocket City Regional,6417,Fridolins,19,1,0,0,6,6
Rocket City Regional,973,Greybots,19,3,0,1,18,3
Rocket City Regional,5025,Pacific Steel ,19,0,1,2,7,0
Rocket City Regional,4322,Clockwork Oranges,19,4,0,0,21,6
Rocket City Regional,8891,Wild Raccoons,19,0,0,0,0,0
Rocket City Regional,6515,Unimatics,20,0,0,1,2,0
Rocket City Regional,3965,Sultans,20,0,0,1,3,3
Rocket City Regional,8537,MechanicAnts,20,0,0,0,0,0
Rocket City Regional,2827,Crown City Robotics,20,0,0,0,0,0
Rocket City Regional,8006,The Phantoms,20,0,0,0,0,0
Rocket City Regional,1622,Team Spyder,21,3,0,2,20,6
Rocket City Regional,4984,Bullseye,21,0,0,4,9,3
Rocket City Regional,1266,The Devil Duckies,21,0,0,0,0,0
Rocket City Regional,4919,Team Ronin,22,0,0,4,9,3
Rocket City Regional,1572,The Hammer Heads,21,0,4,0,12,0
